VARIABLES = TIME,e11,e22,e33,e12,e13,e23,s11,s22,s33,s12,s13,s23
  0.50000D-01  0.10000D-01 -0.48335D-02 -0.48335D-02  0.30494D-18 -0.37272D-18  0.54212D-18  0.99883D+00  0.25386D-09  0.25386D-09  0.10267D-16 -0.12549D-16  0.18252D-16
  0.10000D+00  0.20000D-01 -0.98215D-02 -0.98215D-02 -0.43368D-18  0.18295D-17  0.19995D-18  0.10711D+01  0.43366D-06  0.43366D-06 -0.77886D-17  0.32857D-16  0.35909D-17
  0.15000D+00  0.30000D-01 -0.14814D-01 -0.14814D-01  0.14670D-17  0.65728D-18  0.20330D-18  0.11157D+01  0.17859D-09  0.17859D-09  0.18261D-16  0.81817D-17  0.25306D-17
  0.20000D+00  0.40000D-01 -0.19809D-01 -0.19809D-01 -0.48281D-17 -0.75219D-18  0.40677D-19  0.11483D+01  0.18800D-10  0.18800D-10 -0.46350D-16 -0.72210D-17  0.39051D-18
  0.25000D+00  0.50000D-01 -0.24804D-01 -0.24804D-01  0.12537D-17 -0.50845D-19  0.94531D-18  0.11743D+01  0.39140D-11  0.39140D-11  0.98409D-17 -0.39910D-18  0.74200D-17
  0.30000D+00  0.60000D-01 -0.29801D-01 -0.29801D-01 -0.64043D-18  0.17948D-18 -0.19379D-17  0.11960D+01  0.11566D-11  0.11567D-11 -0.42646D-17  0.11952D-17 -0.12905D-16
  0.35000D+00  0.70000D-01 -0.34798D-01 -0.34798D-01  0.23780D-19 -0.18967D-18 -0.10231D-19  0.12146D+01  0.42566D-12  0.42566D-12  0.13780D-18 -0.10991D-17 -0.59285D-19
  0.40000D+00  0.80000D-01 -0.39795D-01 -0.39795D-01  0.25546D-17 -0.21999D-18  0.54648D-17  0.12309D+01  0.18246D-12  0.18246D-12  0.13125D-16 -0.11302D-17  0.28076D-16
  0.45000D+00  0.90000D-01 -0.44792D-01 -0.44792D-01  0.12214D-16  0.71141D-19  0.83688D-18  0.12455D+01  0.90477D-13  0.90429D-13  0.56431D-16  0.32869D-18  0.38666D-17
  0.50000D+00  0.10000D+00 -0.49790D-01 -0.49790D-01  0.97781D-17  0.40314D-18  0.39985D-18  0.12587D+01  0.46265D-13  0.46250D-13  0.41085D-16  0.16939D-17  0.16800D-17
  0.55000D+00  0.90000D-01 -0.44792D-01 -0.44792D-01 -0.86045D-18  0.20342D-19 -0.75557D-18  0.12455D+01  0.13036D-12  0.13036D-12 -0.39754D-17  0.93984D-19 -0.34909D-17
  0.60000D+00  0.80000D-01 -0.39795D-01 -0.39795D-01 -0.32628D-17  0.10637D-17  0.25988D-17  0.12309D+01  0.66252D-13  0.66234D-13 -0.16763D-16  0.54652D-17  0.13352D-16
  0.65000D+00  0.70000D-01 -0.34798D-01 -0.34798D-01 -0.18284D-18 -0.33865D-18  0.32171D-18  0.12146D+01  0.14282D-12  0.14284D-12 -0.10595D-17 -0.19624D-17  0.18643D-17
  0.70000D+00  0.60000D-01 -0.29801D-01 -0.29801D-01 -0.11178D-17 -0.36928D-18  0.26258D-17  0.11960D+01  0.31771D-12  0.31771D-12 -0.74438D-17 -0.24590D-17  0.17485D-16
  0.75000D+00  0.50000D-01 -0.24804D-01 -0.24804D-01  0.35508D-17 -0.25735D-18  0.11823D-17  0.11743D+01  0.80283D-12  0.80280D-12  0.27871D-16 -0.20200D-17  0.92802D-17
  0.80000D+00  0.40000D-01 -0.19809D-01 -0.19809D-01  0.26597D-17  0.17957D-18 -0.74539D-18  0.11483D+01  0.25056D-11  0.25056D-11  0.25533D-16  0.17239D-17 -0.71558D-17
  0.85000D+00  0.30000D-01 -0.14814D-01 -0.14814D-01 -0.69115D-18 -0.12807D-17  0.71153D-18  0.11157D+01  0.10359D-10  0.10359D-10 -0.86032D-17 -0.15942D-16  0.88569D-17
  0.90000D+00  0.20000D-01 -0.98215D-02 -0.98215D-02 -0.78929D-18  0.84371D-18 -0.46085D-18  0.10711D+01  0.70558D-10  0.70558D-10 -0.14175D-16  0.15152D-16 -0.82764D-17
  0.95000D+00  0.10000D-01 -0.48335D-02 -0.48335D-02 -0.13893D-18  0.30150D-18 -0.87749D-18  0.99883D+00  0.14473D-07  0.14473D-07 -0.46774D-17  0.10151D-16 -0.29543D-16
  0.97500D+00  0.50000D-02 -0.23638D-02 -0.23638D-02  0.41504D-18 -0.23704D-19 -0.30156D-18  0.81748D+00  0.29078D-15  0.25467D-15  0.23037D-16 -0.13157D-17 -0.16738D-16
  0.98750D+00  0.25000D-02 -0.11514D-02 -0.11514D-02  0.34644D-18  0.49130D-19 -0.82164D-19  0.59176D+00  0.26633D-06  0.26633D-06  0.28073D-16  0.39811D-17 -0.66580D-17
  0.10031D+01 -0.62500D-03  0.26840D-03  0.26840D-03 -0.14484D-18  0.53357D-19  0.72004D-19 -0.26459D+00 -0.97330D-12 -0.97327D-12 -0.21448D-16  0.79013D-17  0.10662D-16
  0.10188D+01 -0.37500D-02  0.17548D-02  0.17548D-02 -0.35745D-18 -0.24818D-18  0.62042D-19 -0.72147D+00 -0.19754D-13 -0.19726D-13 -0.23424D-16 -0.16263D-16  0.40657D-17
  0.10383D+01 -0.76563D-02  0.36702D-02  0.36702D-02 -0.20837D-18  0.32524D-18  0.94886D-19 -0.94727D+00 -0.28176D-09 -0.28176D-09 -0.87134D-17  0.13601D-16  0.39678D-17
  0.10627D+01 -0.12539D-01  0.60992D-02  0.60992D-02 -0.13180D-17  0.37246D-19 -0.46415D-18 -0.10220D+01 -0.12904D-12 -0.12902D-12 -0.36134D-16  0.10211D-17 -0.12725D-16
  0.10932D+01 -0.18643D-01  0.91440D-02  0.91440D-02 -0.37947D-18  0.25750D-18 -0.27106D-18 -0.10636D+01 -0.30318D-13 -0.30335D-13 -0.72625D-17  0.49283D-17 -0.51876D-17
  0.11314D+01 -0.26272D-01  0.12953D-01  0.12953D-01 -0.50825D-18  0.39295D-18  0.27451D-18 -0.11009D+01 -0.10556D-13 -0.10543D-13 -0.71324D-17  0.55144D-17  0.38523D-17
  0.11790D+01 -0.35809D-01  0.17715D-01  0.17715D-01  0.38289D-18  0.22700D-18  0.30832D-18 -0.11357D+01 -0.33817D-14 -0.33632D-14  0.40620D-17  0.24083D-17  0.32709D-17
