 VARIABLES = X,Y,Z,S11,S22,S33,S12,S13,S23,SMISES,P1,P2,P3
 ZONE, T="0.1000D+01" F=FEPOINT, I=   12 J=    2 ET=BRICK
  -0.1140606608E+00   0.7201506699E+00   0.7291274386E+00   0.2983006031E+02   0.7483059010E+00   0.1761181831E-07   0.4724617405E+01  -0.2093910323E-09  -0.3316897052E-10   0.3057836618E+02   0.3057836620E+02   0.1398990183E-06  -0.1046753896E-06
   0.3753215694E+01   0.5944509672E+00  -0.4121558039E-15   0.2983006032E+02   0.7483059011E+00   0.1761327249E-07   0.4724617405E+01  -0.2094141691E-09  -0.3316692907E-10   0.3057836618E+02   0.3057836620E+02  -0.1396570196E-06   0.1748835620E-06
   0.3639155033E+01   0.1314601637E+01   0.1447112890E-15   0.2983006031E+02   0.7483059011E+00   0.1761271312E-07   0.4724617405E+01  -0.2093957175E-09  -0.3316500883E-10   0.3057836618E+02   0.3057836620E+02   0.3913186526E-06  -0.3560932301E-06
   0.3753215694E+01   0.5944509672E+00   0.7291274386E+00   0.2983006031E+02   0.7483059010E+00   0.1761250277E-07   0.4724617405E+01   0.2094044664E-09   0.3316502296E-10   0.3057836618E+02   0.3057836620E+02   0.7568415396E-07  -0.4045916146E-07
   0.3639155033E+01   0.1314601637E+01   0.7291274386E+00   0.2983006031E+02   0.7483059010E+00   0.1761098662E-07   0.4724617404E+01   0.2093997921E-09   0.3316328041E-10   0.3057836618E+02   0.3057836619E+02  -0.7389144409E-07   0.1091134157E-06
     1     2     3     4     5     6     7     8
     2     9    10     3     6    11    12     7
 VARIABLES = X,Y,Z,S11,S22,S33,S12,S13,S23,SMISES,P1,P2,P3
 ZONE, T="0.3000D+01" F=FEPOINT, I=   12 J=    2 ET=BRICK
   0.0000000000E+00   0.0000000000E+00   0.0000000000E+00   0.2765838777E+02   0.2919978433E+01   0.9281010892E-08   0.8986762236E+01  -0.6190088198E-05  -0.2011282191E-05   0.3057836619E+02   0.3057836619E+02   0.9665524296E-08   0.8895461628E-08
   0.1807007301E+01   0.5871325341E+00  -0.2299072637E-06   0.2765831486E+02   0.2919889683E+01  -0.7119941424E-04   0.8986758984E+01   0.1794335555E-12  -0.5631104394E-12   0.3057836812E+02   0.3057828986E+02  -0.7119884844E-04  -0.8531670439E-04
   0.1581694691E+01   0.1280573446E+01  -0.2299072641E-06   0.2765831486E+02   0.2919889683E+01  -0.7119941412E-04   0.8986758983E+01  -0.1744275294E-12   0.5577678025E-12   0.3057836811E+02   0.3057828986E+02  -0.7120034920E-04  -0.8531520337E-04
  -0.2253127696E+00   0.6934414017E+00   0.0000000000E+00   0.2765839635E+02   0.2919969884E+01   0.2608976764E-07   0.8986750446E+01  -0.6190088570E-05  -0.2011281081E-05   0.3057836618E+02   0.3057836621E+02   0.3743738766E-07   0.1474110551E-07
  -0.1790120612E-15   0.5509424738E-15   0.7291274386E+00   0.2765838777E+02   0.2919978432E+01   0.9281394806E-08   0.8986762235E+01   0.6190088186E-05   0.2011282192E-05   0.3057836618E+02   0.3057836619E+02   0.2746313155E-07  -0.8901399293E-08
   0.1807007301E+01   0.5871325341E+00   0.7291276685E+00   0.2765831486E+02   0.2919889683E+01  -0.7119941399E-04   0.8986758983E+01  -0.1861127920E-12   0.5599785910E-12   0.3057836811E+02   0.3057828986E+02  -0.7120197684E-04  -0.8531357548E-04
   0.1581694691E+01   0.1280573446E+01   0.7291276685E+00   0.2765831485E+02   0.2919889682E+01  -0.7119941339E-04   0.8986758982E+01   0.1887967611E-12  -0.5544156234E-12   0.3057836811E+02   0.3057828985E+02  -0.7119640443E-04  -0.8531914669E-04
  -0.2253127696E+00   0.6934414017E+00   0.7291274386E+00   0.2765839635E+02   0.2919969883E+01   0.2608808944E-07   0.8986750445E+01   0.6190088573E-05   0.2011281076E-05   0.3057836618E+02   0.3057836621E+02   0.1054825972E-07   0.4162687661E-07
   0.3614014762E+01   0.1174264579E+01  -0.4121558039E-15   0.2765839635E+02   0.2919969884E+01   0.2609089768E-07   0.8986750447E+01   0.6190088549E-05   0.2011281075E-05   0.3057836618E+02   0.3057836621E+02   0.5175766248E-08   0.4700498875E-07
